Sequence,Cycle,Event,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure probability,Risk level,Recommended action,Expected continue cost,Expected selected cost,Expected savings,Top risk driver,Realized event cost,Cumulative realized cost,Maintenance count
1,1,Operation,L,296.75,307.65,1885,22.02,2.0,0.0037443385066313123,Healthy,CONTINUE OPERATION,374.43385066313124,374.43385066313124,9625.566149336868,Not required,0.0,0.0,0
2,2,Operation,M,298.45,308.88,1769,28.37,5.0,0.003638926025097612,Healthy,CONTINUE OPERATION,363.8926025097612,363.8926025097612,9636.10739749024,Not required,0.0,0.0,0
3,3,Operation,M,298.55,309.14,1705,33.66,8.0,0.003638926025097612,Healthy,CONTINUE OPERATION,363.8926025097612,363.8926025097612,9636.10739749024,Not required,0.0,0.0,0
4,4,Operation,L,299.48,309.89,1688,33.74,10.0,0.0036784816081957368,Healthy,CONTINUE OPERATION,367.84816081957365,367.84816081957365,9632.151839180426,Not required,0.0,0.0,0
5,5,Operation,H,300.2,309.92,1658,33.14,15.0,0.0037188876637983662,Healthy,CONTINUE OPERATION,371.8887663798366,371.8887663798366,9628.111233620164,Not required,0.0,0.0,0
6,6,Operation,L,299.45,309.1,1259,68.46,27.0,0.9860168483539816,Critical,PERFORM MAINTENANCE,98601.68483539816,10000.0,88601.68483539816,Torque [Nm],0.0,0.0,0
7,6,Maintenance,L,298.7,310.1,1401,45.3,0.0,0.004049119551608947,Healthy,CONTINUE OPERATION,404.9119551608947,404.9119551608947,9595.088044839105,Maintenance reset,10000.0,10000.0,1
8,7,Operation,L,298.7,310.1,1416,44.3,2.0,0.003760466446137982,Healthy,CONTINUE OPERATION,376.0466446137982,376.0466446137982,9623.953355386202,Not required,0.0,10000.0,1
9,8,Operation,L,298.7,310.1,1431,43.3,4.0,0.0037376047426352275,Healthy,CONTINUE OPERATION,373.7604742635227,373.7604742635227,9626.239525736477,Not required,0.0,10000.0,1
10,9,Operation,L,298.7,310.1,1446,42.3,6.0,0.0036658462888717923,Healthy,CONTINUE OPERATION,366.58462888717924,366.58462888717924,9633.41537111282,Not required,0.0,10000.0,1
11,10,Operation,L,298.7,310.1,1461,41.3,8.0,0.0036658462888717923,Healthy,CONTINUE OPERATION,366.58462888717924,366.58462888717924,9633.41537111282,Not required,0.0,10000.0,1
