Dataset index,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Power [W],Overstrain indicator,Actual failure,Failure probability,Corrective action,Preventive action,Predictive action
2997,L,300.5,309.8,1345,62.7,153,9.300000000000011,8831.174028873587,9593.1,0,0.0162779101506212,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4871,L,303.7,312.4,1513,40.1,135,8.699999999999989,6353.483678791414,5413.5,0,0.00363972720324028,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3858,L,302.5,311.4,1559,37.6,209,8.899999999999977,6138.504493506264,7858.400000000001,0,0.10141758648405956,CONTINUE OPERATION,PERFORM MAINTENANCE,PERFORM MAINTENANCE
951,H,295.6,306.3,1509,35.8,60,10.699999999999989,5657.191555025283,2148.0,0,0.003666379768970011,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6463,H,300.5,310.0,1358,60.4,102,9.5,8589.449418130878,6160.8,0,0.006074443919949894,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
3264,H,301.3,310.1,1455,44.1,188,8.800000000000011,6719.395447130529,8290.800000000001,0,0.0038545381115071297,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4508,L,302.4,310.0,1426,46.6,102,7.600000000000023,6958.795279309583,4753.2,0,0.005684833748382577,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2100,M,299.3,309.3,1471,46.0,42,10.0,7085.966949926898,1932.0,0,0.0037282145871133736,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7885,L,300.7,312.3,1590,36.3,93,11.600000000000023,6044.110106241402,3375.8999999999996,0,0.0036634374763982293,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
2421,L,298.9,308.2,2384,15.0,19,9.300000000000011,3744.7784430790334,285.0,0,0.005314053911080812,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
128,L,299.0,308.6,1587,38.6,124,9.600000000000023,6414.9437030711415,4786.400000000001,0,0.0036416472546152274,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
7717,L,300.5,311.6,1365,53.0,85,11.100000000000023,7575.950684131786,4505.0,0,0.00397778344961758,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
6204,M,300.9,310.8,1519,34.9,73,9.900000000000034,5551.518850134035,2547.7,0,0.0036424622941318998,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
289,L,298.1,308.4,1436,46.7,103,10.299999999999955,7022.632442030528,4810.1,0,0.0036502417199430976,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
921,H,295.5,305.9,1593,37.2,197,10.399999999999977,6205.65080048899,7328.400000000001,0,0.00465417653172209,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5086,L,304.0,313.0,1541,45.9,64,9.0,7407.027247148262,2937.6,0,0.003780426597262794,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
5106,L,304.0,313.3,1519,36.7,117,9.300000000000011,5837.84360458221,4293.900000000001,0,0.0037261548965134067,CONTINUE OPERATION,CONTINUE OPERATION,CONTINUE OPERATION
4851,L,303.7,312.1,1363,51.8,90,8.400000000000034,7393.570758615386,4662.0,1,0.7466417915966137,REPAIR AFTER FAILURE,CONTINUE OPERATION,PERFORM MAINTENANCE
